	Serial	Section 4
30C15	-1.33279150960258	-1.13010295575948
31C16	-0.535067088139025	-0.435408984481236
32C16	0.115041503310678	0.211880359035499
33C17	1.08868315759022	0.911479174876933
34C17	1.74044336756288	1.55835512220478
35C18	2.39167688774647	2.37685733736863
36C18	3.04534495650494	3.02766689208434
37C19	3.68333938623831	3.68850438378385
38C19	4.34115528997759	4.33746066103576
39C20	5.15284930016827	5.06638530920075
40C20	5.80984164619716	5.72366353024935
